unique_agent_id,canonical_id,record_id,agent_full_name,agent_mls_id,agent_state_license,agent_preferred_phone,agent_email,office_name,state,mls_source,true_agent_id,test_case,norm_phone,norm_license,norm_name,norm_email,norm_office,first_name,last_name,email_username,email_domain,null_count,records_merged
AGT00000,REC00000,REC00000,Thomas Brown,MLS246316,NC-39256,+19594815012,thomas.brown@yahoo.com,Brown Realty,NC,CRMLS_NC,a5eaf10f,TC1_name_variation,9594815012.0,39256.0,thomas brown,thomas.brown@yahoo.com,brown,thomas,brown,thomas.brown,yahoo.com,0,1
AGT00001,REC00001,REC00001,Tom Brown,MLS719176,NC-039256,959-481-5012,tbrown@gmail.com,Brown Realty,NC,NWMLS_NC,a5eaf10f,TC1_name_variation,9594815012.0,39256.0,tom brown,tbrown@gmail.com,brown,tom,brown,tbrown,gmail.com,0,1
AGT00002,REC00002,REC00002,Tommy Brown,MLS198246,NC39256,(959) 481-5012,tommyb@gmail.com,Brown Realty,NC,FLEX_NC,a5eaf10f,TC1_name_variation,9594815012.0,39256.0,tommy brown,tommyb@gmail.com,brown,tommy,brown,tommyb,gmail.com,0,1
AGT00003,REC00003,REC00003,T. Brown,MLS688508,NC39256,+19594815012,t_brown@remax.com,Brown Realty,NC,CRMLS_NC,a5eaf10f,TC1_name_variation,9594815012.0,39256.0,t brown,t_brown@remax.com,brown,t,brown,t_brown,remax.com,0,1
AGT00004,REC00005,REC00005,Rob Davis,MLS263032,FL30926,803.484.1106,rdavis@yahoo.com,Davis Realty,FL,MIAMI_FL,06093853,TC1_name_variation,8034841106.0,30926.0,rob davis,rdavis@yahoo.com,davis,rob,davis,rdavis,yahoo.com,0,2
AGT00005,REC00007,REC00007,Bobby Davis,MLS988662,30926,+18034841106,bobby_davis@kw.com,Davis Realty,FL,MFRMLS_FL,06093853,TC1_name_variation,8034841106.0,30926.0,bobby davis,bobby_davis@kw.com,davis,bobby,davis,bobby_davis,kw.com,0,2
AGT00006,REC00008,REC00008,Elizabeth Smith,MLS678856,20328,+17493277201,elizabeth.smith@cbunited.com,Smith Realty,FL,MFRMLS_FL,1505862c,TC1_name_variation,7493277201.0,20328.0,elizabeth smith,elizabeth.smith@cbunited.com,smith,elizabeth,smith,elizabeth.smith,cbunited.com,0,1
AGT00007,REC00009,REC00009,Liz Smith,MLS705397,FL20328,749-327-7201,lsmith@gmail.com,Smith Realty,FL,MIAMI_FL,1505862c,TC1_name_variation,7493277201.0,20328.0,liz smith,lsmith@gmail.com,smith,liz,smith,lsmith,gmail.com,0,1
AGT00008,REC00010,REC00010,Beth Smith,MLS793384,FL20328,749.327.7201,beths@yahoo.com,Smith Realty,FL,BRIGHT_FL,1505862c,TC1_name_variation,7493277201.0,20328.0,beth smith,beths@yahoo.com,smith,beth,smith,beths,yahoo.com,0,1
AGT00009,REC00011,REC00011,Eliza Smith,MLS996865,FL20328,749-327-7201,eliza_smith@remax.com,Smith Realty,FL,MFRMLS_FL,1505862c,TC1_name_variation,7493277201.0,20328.0,eliza smith,eliza_smith@remax.com,smith,eliza,smith,eliza_smith,remax.com,0,1
AGT00010,REC00012,REC00012,William Wilson,MLS472528,FL58520,850.573.3664,william.wilson@yahoo.com,Wilson Realty,FL,MFRMLS_FL,7efcda5f,TC1_name_variation,8505733664.0,58520.0,william wilson,william.wilson@yahoo.com,wilson,william,wilson,william.wilson,yahoo.com,0,1
AGT00011,REC00013,REC00013,Will Wilson,MLS738720,FL58520,+18505733664,wwilson@realty.com,Wilson Realty,FL,MIAMI_FL,7efcda5f,TC1_name_variation,8505733664.0,58520.0,will wilson,wwilson@realty.com,wilson,will,wilson,wwilson,realty.com,0,1
AGT00012,REC00014,REC00014,Bill Wilson,MLS271339,FL-058520,8505733664,billw@kw.com,Wilson Realty,FL,BRIGHT_FL,7efcda5f,TC1_name_variation,8505733664.0,58520.0,bill wilson,billw@kw.com,wilson,bill,wilson,billw,kw.com,0,1
AGT00013,REC00015,REC00015,Billy Wilson,MLS771088,LIC-FL-58520,(850) 573-3664,billy_wilson@cbunited.com,Wilson Realty,FL,MFRMLS_FL,7efcda5f,TC1_name_variation,8505733664.0,58520.0,billy wilson,billy_wilson@cbunited.com,wilson,billy,wilson,billy_wilson,cbunited.com,0,1
AGT00014,REC00016,REC00016,Jennifer Smith,MLS169403,CA45093,+12325237572,jennifer.smith@cbunited.com,Smith Realty,CA,CRMLS_CA,3f5b2c93,TC1_name_variation,2325237572.0,45093.0,jennifer smith,jennifer.smith@cbunited.com,smith,jennifer,smith,jennifer.smith,cbunited.com,0,1
